Season,Week Start Date,WeekEnd,Deaths,Probable deaths,Confirmed and probable deaths,Cases,Probable cases,Confirmed and probable cases,Last updated
2023-2024,2022-12-18T00:00:00Z,2022-12-24,95,29,124,9468,1943,11411,2023-10-19T00:00:00Z
2023-2024,2020-03-15T00:00:00Z,2020-03-21,7,0,7,1717,0,1717,2023-10-19T00:00:00Z
2023-2024,2022-06-05T00:00:00Z,2022-06-11,74,19,93,11211,1644,12855,2023-10-19T00:00:00Z
2023-2024,2022-01-16T00:00:00Z,2022-01-22,464,49,513,70124,7839,77963,2023-10-19T00:00:00Z
2023-2024,2022-04-17T00:00:00Z,2022-04-23,35,8,43,14171,1023,15194,2023-10-19T00:00:00Z
2023-2024,2022-08-21T00:00:00Z,2022-08-27,56,14,70,8009,979,8988,2023-10-19T00:00:00Z
2023-2024,2020-12-06T00:00:00Z,2020-12-12,273,13,286,32287,1591,33878,2023-10-19T00:00:00Z
2023-2024,2022-04-24T00:00:00Z,2022-04-30,38,4,42,18556,2042,20598,2023-10-19T00:00:00Z
2023-2024,2022-02-13T00:00:00Z,2022-02-19,191,13,204,9781,1061,10842,2023-10-19T00:00:00Z
2023-2024,2023-05-14T00:00:00Z,2023-05-20,9,2,11,789,172,961,2023-10-19T00:00:00Z
2023-2024,2021-05-02T00:00:00Z,2021-05-08,58,3,61,5129,679,5808,2023-10-19T00:00:00Z
2023-2024,2020-05-31T00:00:00Z,2020-06-06,255,3,258,2431,30,2461,2023-10-19T00:00:00Z
2023-2024,2021-03-28T00:00:00Z,2021-04-03,78,3,81,13731,1501,15232,2023-10-19T00:00:00Z
2023-2024,2021-08-08T00:00:00Z,2021-08-14,40,4,44,8100,671,8771,2023-10-19T00:00:00Z
2023-2024,2021-03-21T00:00:00Z,2021-03-27,82,1,83,13718,1540,15258,2023-10-19T00:00:00Z
2023-2024,2020-03-08T00:00:00Z,2020-03-14,0,0,0,223,0,223,2023-10-19T00:00:00Z
2023-2024,2021-12-12T00:00:00Z,2021-12-18,187,10,197,36597,3356,39953,2023-10-19T00:00:00Z
2023-2024,2022-01-09T00:00:00Z,2022-01-15,342,59,401,114048,13971,128019,2023-10-19T00:00:00Z
2023-2024,2023-04-09T00:00:00Z,2023-04-15,18,4,22,1346,320,1666,2023-10-19T00:00:00Z
2023-2024,2021-06-06T00:00:00Z,2021-06-12,27,0,27,684,108,792,2023-10-19T00:00:00Z
2023-2024,2020-07-05T00:00:00Z,2020-07-11,59,1,60,1385,97,1482,2023-10-19T00:00:00Z
2023-2024,2022-09-18T00:00:00Z,2022-09-24,57,16,73,9141,1331,10472,2023-10-19T00:00:00Z
2023-2024,2023-04-16T00:00:00Z,2023-04-22,9,2,11,936,205,1141,2023-10-19T00:00:00Z
2023-2024,2020-08-09T00:00:00Z,2020-08-15,26,0,26,1881,88,1969,2023-10-19T00:00:00Z
2023-2024,2022-02-27T00:00:00Z,2022-03-05,76,8,84,5319,539,5858,2023-10-19T00:00:00Z
2023-2024,2023-01-22T00:00:00Z,2023-01-28,117,28,145,5255,1320,6575,2023-10-19T00:00:00Z
2023-2024,2020-05-03T00:00:00Z,2020-05-09,893,49,942,9821,45,9866,2023-10-19T00:00:00Z
2023-2024,2023-05-07T00:00:00Z,2023-05-13,8,2,10,823,200,1023,2023-10-19T00:00:00Z
2023-2024,2021-05-16T00:00:00Z,2021-05-22,51,1,52,2497,342,2839,2023-10-19T00:00:00Z
2023-2024,2021-03-07T00:00:00Z,2021-03-13,90,8,98,9706,1296,11002,2023-10-19T00:00:00Z
2023-2024,2022-01-02T00:00:00Z,2022-01-08,313,47,360,162722,15873,178595,2023-10-19T00:00:00Z
2023-2024,2023-06-11T00:00:00Z,2023-06-17,7,1,8,765,245,1010,2023-10-19T00:00:00Z
2023-2024,2021-09-19T00:00:00Z,2021-09-25,89,4,93,10740,732,11472,2023-10-19T00:00:00Z
2023-2024,2021-11-07T00:00:00Z,2021-11-13,82,3,85,12688,1284,13972,2023-10-19T00:00:00Z
2023-2024,2022-09-25T00:00:00Z,2022-10-01,69,18,87,8682,1332,10014,2023-10-19T00:00:00Z
2023-2024,2023-05-21T00:00:00Z,2023-05-27,10,1,11,802,214,1016,2023-10-19T00:00:00Z
2023-2024,2020-06-21T00:00:00Z,2020-06-27,98,4,102,1231,42,1273,2023-10-19T00:00:00Z
2023-2024,2020-02-02T00:00:00Z,2020-02-08,0,0,0,1,0,1,2023-10-19T00:00:00Z
2023-2024,2021-07-11T00:00:00Z,2021-07-17,20,1,21,1849,240,2089,2023-10-19T00:00:00Z
2023-2024,2023-03-12T00:00:00Z,2023-03-18,51,8,59,2047,525,2572,2023-10-19T00:00:00Z
